3858013266719,Gynura aurantiaca (Blume) DC.,303,2022-02-05 14:11:21
1293216187627,Narcissus ×medioluteus Mill. (pro sp.),337,2021-06-16 16:49:16
4350931147035,"Aspicilia albopruinosa (Looman) ?, ined.?",243,2021-09-25 10:32:03
8340500595910,Lotus argyraeus (Greene) Greene var. notitius Isely,398,2021-05-21 14:17:39
2920615189911,Streptopus lanceolatus (Aiton) Reveal,120,2021-08-31 12:03:32
2460345885650,Geraea Torr. & A. Gray,236,2021-11-09 00:00:34
7317441538809,Arbutus arizonica (A. Gray) Sarg.,452,2021-06-10 13:11:31
6073267370916,Cirsium muticum Michx.,289,2022-04-20 22:46:49
9599511823939,Lilium canadense L. ssp. canadense,355,2022-02-16 13:37:56
1947778684510,Potentilla diversifolia Lehm. var. ranunculus (Lange) B. Boivin,313,2022-04-12 02:43:29
